Rapor Tarihi (YYYYMMDD),Rapor Saati (HHMM),İstasyon Kodu,Gözlem Zamanı (UTC),Hava Durumu,Bulut Durumu,Sıcaklık ve Çiy Noktası (°C),Barometrik Basınç (hPa)
20241121,1420,LTFJ,211420Z,-SHRA,BKN030 BKN070,08/06,1010
20241121,1350,LTFJ,211350Z,-SHRA,FEW009 SCT015CB BKN030,08/07,1008
20241121,1320,LTFJ,211320Z,-SHRA,FEW009 SCT015CB BKN030,08/07,1006
20241121,1250,LTFJ,211250Z,-SHRA,FEW009 SCT015CB BKN030,09/08,1005
20241121,1220,LTFJ,211220Z,-TSRA,SCT015CB BKN030 BKN090,09/08,1005
20241121,1210,LTFJ,211210Z,+TSRA,FEW009 SCT015CB BKN030,09/08,1005
20241121,1203,LTFJ,211203Z,+TSRA,FEW009 SCT015CB BKN030,10/08,1004
20241121,1150,LTFJ,211150Z,-TSRA,SCT015CB BKN030 BKN090,13/10,1004
20241121,1120,LTFJ,211120Z,-SHRA,SCT035 BKN100,17/14,1002
20241121,1050,LTFJ,211050Z,-SHRA,SCT035 BKN100,16/13,1002
20241121,1020,LTFJ,211020Z,-SHRA,SCT035 BKN100,16/13,1002
20241121,0950,LTFJ,210950Z,-SHRA,SCT035 BKN100,16/13,1002
20241121,0920,LTFJ,210920Z,-SHRA,SCT035 BKN100,18/12,1002
20241121,0905,LTFJ,210905Z,-SHRA,SCT035 BKN100,18/12,1002
20241121,0850,LTFJ,210850Z,,SCT035 BKN100,18/11,1002
20241121,0820,LTFJ,210820Z,-SHRA,SCT035 BKN100,19/11,1002
20241121,0811,LTFJ,210811Z,-SHRA,SCT040 BKN100,19/11,1002
20241121,0750,LTFJ,210750Z,-SHRA,SCT040 BKN100,19/10,1002
20241121,0720,LTFJ,210720Z,-SHRA,SCT040 BKN100,20/10,1001
20241121,0650,LTFJ,210650Z,,SCT040 BKN100,20/09,1001
20241121,0647,LTFJ,210647Z,,SCT040 BKN100,20/09,1001
